Procedure,Classification,Type,Category,Task Object,Value,Human Role,Autonomy Role
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,,GEN Switch (affected side),OFF,performer,supporter
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,,IGNITION switch (affected side),NORM,performer,supporter
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,,Electrical Load,REDUCE as required (<= 300A),performer,supporter
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,,Fuel TRANSFER Knob,AS REQUIRED,performer,supporter
ENG FAILURE DURING TAKEOFF,EMER,SOP,,Rudder,TRIM,performer,supporter
ENG FAILURE DURING TAKEOFF,EMER,SOP,,Alarm,ANNOUNCE,,performer
ENG FAILURE DURING TAKEOFF,EMER,SOP,,Flight Director,SET TO MODE,,performer
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,,Airspeed,CHECK V2,,performer
ENG FAILURE DURING TAKEOFF,EMER,SOP,,"""Speed mode FLC V2, heading mode""",ANNOUNCE,,performer
ENG FAILURE DURING TAKEOFF,EMER,SOP,,Autopilot,SET SPD MODE,performer,
ENG FAILURE DURING TAKEOFF,EMER,SOP,,Autopilot,SET HDG MODE,performer,
ENG FAILURE DURING TAKEOFF,EMER,SOP,,ATC,CONTACT,performer,supporter
ENG FAILURE DURING TAKEOFF,EMER,SOP,,Altitude,CHECK 700ft AGL,,performer
ENG FAILURE DURING TAKEOFF,EMER,SOP,,"""700ft, engage autopilot""",ANNOUNCE,,performer
ENG FAILURE DURING TAKEOFF,EMER,SOP,,Autopilot,ENGAGE,performer,supporter
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,,Altitude,CHECK 1500ft AGL,,performer
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,,Airspeed,CHECK V2+10,,performer
ENG FAILURE DURING TAKEOFF,EMER,SOP,,"""Retract flaps""",Announce,,performer
ENGINE FIRE,EMER,SOP,,"""Affected thrust lever, confirm and idle""",ANNOUNCE,,performer
ENGINE FIRE,EMER,SOP,,"""TOP""",ANNOUNCE,performer,
ENGINE FIRE,EMER,SOP,,Chrono,START,performer,
ENGINE FIRE,EMER,Memory Item,,Engine FIRE LIGHT,CHECK ON AFTER 15s,,performer
ENGINE FIRE,EMER,SOP,,Checklist,ORDER START,,performer
ENGINE FIRE,EMER,SOP,,Checklist,RETRIEVE,,performer
ENGINE FIRE,EMER,SOP,,"""Affected thrust lever, confirm and cutoff""",ANNOUNCE,,performer
ENGINE FIRE,EMER,SOP,,"""Affected engine fuel boost confirm off then norm""",ANNOUNCE,,performer
ENGINE FIRE,EMER,Checklist,,Engine FIRE LIGHT,CHECK ON AFTER 30s,,performer
ENGINE FIRE,EMER,SOP,,"""30 seconds, light remains on, bottle discharge""",ANNOUNCE,,performer
ENGINE FIRE,EMER,Checklist,,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,performer,supporter
DECLARE EMERGENCY,EMER,SOP,,ATC,ANNOUNCE EMERGENCY,performer,supporter
DECLARE EMERGENCY,EMER,SOP,,ATC,REQUEST VECTOR,performer,supporter
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,SOP,,Checklist,ORDER START,,performer
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,SOP,,Checklist,RETRIEVE,,performer
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,,CAUTION text,READ,performer,supporter
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,,Verify ENGINE FIRE Switch (affected side),Is pushed,performer,supporter
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,,Next checklist,SINGLE-ENGINE APPROACH AND LANDING,performer,supporter
